#
## fault_report.txt
## File generated by TOOL:	xfr(64)	20.09-s001 on Jan 08, 2024 at 00:42:00 WET
#

{ <list of fault nodes> } <fault_seed> <fault_type> <fault injection time> <finish time> <result> <id equiv> <test> <seed>
"testbench_bist.top_level.clock"    0    SA0    0fs    5us    <STOPPED,POTENTIALLY_DETECTED:5us>	<1 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_24"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<46 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_115"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<47 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_115"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<49 48>	"NA"	NA
"testbench_bist.top_level.n_239"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<48 NA>	"NA"	NA
"testbench_bist.top_level.n_239"    0    SA1    0fs    136400us    <ON_TIME,UNDETECTED>	<50 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda1[2]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<51 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda1[2]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<52 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_22"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<53 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_22"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<54 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_117"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<55 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_117"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<57 56>	"NA"	NA
"testbench_bist.top_level.n_235"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<56 NA>	"NA"	NA
"testbench_bist.top_level.n_235"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<58 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda2[0]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<59 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda2[0]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<60 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_23"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<61 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_23"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<62 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_110"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<63 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_110"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<65 64>	"NA"	NA
"testbench_bist.top_level.n_240"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<64 NA>	"NA"	NA
"testbench_bist.top_level.n_240"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<66 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda2[1]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<67 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda2[1]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<68 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_16"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<69 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_16"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<70 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_111"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<71 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_111"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<73 72>	"NA"	NA
"testbench_bist.top_level.n_243"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<72 NA>	"NA"	NA
"testbench_bist.top_level.n_243"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<74 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda2[2]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<75 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda2[2]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<76 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_17"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<77 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_17"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<78 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_116"    0    SA1    0fs    136400us    <ON_TIME,UNDETECTED>	<79 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_116"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<81 80>	"NA"	NA
"testbench_bist.top_level.n_234"    0    SA0    0fs    136400us    <ON_TIME,UNDETECTED>	<82 NA>	"NA"	NA
"testbench_bist.top_level.n_234"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<80 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda3[0]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<83 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda3[0]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<84 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_18"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<85 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_18"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<86 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_112"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<87 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_112"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<89 88>	"NA"	NA
"testbench_bist.top_level.n_236"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<90 NA>	"NA"	NA
"testbench_bist.top_level.n_236"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<88 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda3[1]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<91 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda3[1]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<92 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_20"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<93 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_20"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<94 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_109"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<95 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_109"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<97 96>	"NA"	NA
"testbench_bist.top_level.n_233"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<98 NA>	"NA"	NA
"testbench_bist.top_level.n_233"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<96 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda3[2]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<99 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_coda3[2]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<100 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_19"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<101 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_19"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<102 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_70"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<103 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_70"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<104 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_fu1"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<105 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_fu1"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<106 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_8"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<107 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_8"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<108 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_68"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<109 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_68"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<111 110>	"NA"	NA
"testbench_bist.top_level.n_204"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<112 NA>	"NA"	NA
"testbench_bist.top_level.n_204"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<110 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_fu2"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<113 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_fu2"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<114 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_7"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<115 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_7"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<116 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_69"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<117 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_69"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<119 118>	"NA"	NA
"testbench_bist.top_level.n_201"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<120 NA>	"NA"	NA
"testbench_bist.top_level.n_201"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<118 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_fu3"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<121 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_fu3"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<122 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_6"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<123 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_6"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<124 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_71"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<125 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_71"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<127 126>	"NA"	NA
"testbench_bist.top_level.n_202"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<128 NA>	"NA"	NA
"testbench_bist.top_level.n_202"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<126 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_fu4"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<129 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_fu4"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<130 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_9"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<131 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_9"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<132 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_77"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<133 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_77"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<135 134>	"NA"	NA
"testbench_bist.top_level.n_214"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<134 NA>	"NA"	NA
"testbench_bist.top_level.n_214"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<136 NA>	"NA"	NA
"testbench_bist.top_level.po[0]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<137 NA>	"NA"	NA
"testbench_bist.top_level.po[0]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<138 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_11"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<139 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_11"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<140 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_78"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<141 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_78"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<143 142>	"NA"	NA
"testbench_bist.top_level.n_219"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<142 NA>	"NA"	NA
"testbench_bist.top_level.n_219"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<145 144>	"NA"	NA
"testbench_bist.top_level.n_211"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<146 NA>	"NA"	NA
"testbench_bist.top_level.n_211"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<144 NA>	"NA"	NA
"testbench_bist.top_level.po[1]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<147 NA>	"NA"	NA
"testbench_bist.top_level.po[1]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<148 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_10"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<149 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_10"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<150 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_85"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<151 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_85"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<153 152>	"NA"	NA
"testbench_bist.top_level.n_218"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<152 NA>	"NA"	NA
"testbench_bist.top_level.n_218"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<155 154>	"NA"	NA
"testbench_bist.top_level.n_212"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<156 NA>	"NA"	NA
"testbench_bist.top_level.n_212"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<154 NA>	"NA"	NA
"testbench_bist.top_level.po[2]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<157 NA>	"NA"	NA
"testbench_bist.top_level.po[2]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<158 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_13"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<159 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_13"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<160 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_84"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<161 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_84"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<163 162>	"NA"	NA
"testbench_bist.top_level.n_220"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<162 NA>	"NA"	NA
"testbench_bist.top_level.n_220"    NA    SA0    NA    NA    <NOT_RUN,DETECTED:NA>	<165 164>	"NA"	NA
"testbench_bist.top_level.n_213"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<166 NA>	"NA"	NA
"testbench_bist.top_level.n_213"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<164 NA>	"NA"	NA
"testbench_bist.top_level.po[3]"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<167 NA>	"NA"	NA
"testbench_bist.top_level.po[3]"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<168 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_12"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<169 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_12"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<170 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_49"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<171 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_49"    NA    SA1    NA    NA    <NOT_RUN,DETECTED:NA>	<173 172>	"NA"	NA
"testbench_bist.top_level.n_199"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<172 NA>	"NA"	NA
"testbench_bist.top_level.n_199"    0    SA1    0fs    136400us    <ON_TIME,UNDETECTED>	<174 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_ru1"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<175 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_ru1"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<176 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_4"    0    SA0    0fs    135695us    <STOPPED,DETECTED:135695us>	<177 NA>	"NA"	NA
"testbench_bist.top_level.circuito06_n_4"    0    SA1    0fs    135695us    <STOPPED,DETECTED:135695us>	<178 NA>	"NA"	NA
